plate_id Fibroblast_id cell_culture well time Interval OCR cell_n Treat Sample_Name
20130503_1438 NHDF NHDF_20130503_1438 A3 1 Int1 34.2466064338591 12604.5661553212 Initial NHDF_20130503_1438_A3_1
20130503_1438 NHDF NHDF_20130503_1438 A3 2 Int1 33.3208428527323 12604.5661553212 Initial NHDF_20130503_1438_A3_2
20130503_1438 NHDF NHDF_20130503_1438 A3 3 Int1 33.7424965768456 12604.5661553212 Initial NHDF_20130503_1438_A3_3
20130503_1438 NHDF NHDF_20130503_1438 A3 4 Int2 15.2228585749365 12604.5661553212 OLIGOMYCIN NHDF_20130503_1438_A3_4
20130503_1438 NHDF NHDF_20130503_1438 A3 5 Int2 14.7869657679615 12604.5661553212 OLIGOMYCIN NHDF_20130503_1438_A3_5
20130503_1438 NHDF NHDF_20130503_1438 A3 6 Int2 13.8033936609755 12604.5661553212 OLIGOMYCIN NHDF_20130503_1438_A3_6
20130503_1438 NHDF NHDF_20130503_1438 A3 7 Int3 67.44095154721 12604.5661553212 FCCP NHDF_20130503_1438_A3_7
20130503_1438 NHDF NHDF_20130503_1438 A3 8 Int3 70.1993718974617 12604.5661553212 FCCP NHDF_20130503_1438_A3_8
20130503_1438 NHDF NHDF_20130503_1438 A3 9 Int3 68.4477015582505 12604.5661553212 FCCP NHDF_20130503_1438_A3_9
20130503_1438 NHDF NHDF_20130503_1438 A3 10 Int4 10.2772089446384 12604.5661553212 ROTENONE NHDF_20130503_1438_A3_10
20130503_1438 NHDF NHDF_20130503_1438 A3 11 Int4 9.14055880401273 12604.5661553212 ROTENONE NHDF_20130503_1438_A3_11
20130503_1438 NHDF NHDF_20130503_1438 A3 12 Int4 9.09253088084346 12604.5661553212 ROTENONE NHDF_20130503_1438_A3_12
20130503_1438 71215 71215_20130503_1438 A4 1 Int1 57.8880120906394 14610.7981783317 Initial 71215_20130503_1438_A4_1
20130503_1438 71215 71215_20130503_1438 A4 2 Int1 57.1956836213201 14610.7981783317 Initial 71215_20130503_1438_A4_2
20130503_1438 71215 71215_20130503_1438 A4 3 Int1 58.0571726933759 14610.7981783317 Initial 71215_20130503_1438_A4_3
20130503_1438 71215 71215_20130503_1438 A4 4 Int2 20.7944937697019 14610.7981783317 OLIGOMYCIN 71215_20130503_1438_A4_4
20130503_1438 71215 71215_20130503_1438 A4 5 Int2 18.1685659548238 14610.7981783317 OLIGOMYCIN 71215_20130503_1438_A4_5
20130503_1438 71215 71215_20130503_1438 A4 6 Int2 18.0499525182264 14610.7981783317 OLIGOMYCIN 71215_20130503_1438_A4_6
20130503_1438 71215 71215_20130503_1438 A4 7 Int3 129.319864070035 14610.7981783317 FCCP 71215_20130503_1438_A4_7
20130503_1438 71215 71215_20130503_1438 A4 8 Int3 128.150435305891 14610.7981783317 FCCP 71215_20130503_1438_A4_8
20130503_1438 71215 71215_20130503_1438 A4 9 Int3 126.697739439193 14610.7981783317 FCCP 71215_20130503_1438_A4_9
20130503_1438 71215 71215_20130503_1438 A4 10 Int4 13.0903714172043 14610.7981783317 ROTENONE 71215_20130503_1438_A4_10
20130503_1438 71215 71215_20130503_1438 A4 11 Int4 13.1696500023227 14610.7981783317 ROTENONE 71215_20130503_1438_A4_11
20130503_1438 71215 71215_20130503_1438 A4 12 Int4 13.8101939819817 14610.7981783317 ROTENONE 71215_20130503_1438_A4_12
20130503_1438 71215 71215_20130503_1438 A5 1 Int1 52.3544852296118 13812.6198465964 Initial 71215_20130503_1438_A5_1
20130503_1438 71215 71215_20130503_1438 A5 2 Int1 51.4115322951965 13812.6198465964 Initial 71215_20130503_1438_A5_2
20130503_1438 71215 71215_20130503_1438 A5 3 Int1 51.0906873649121 13812.6198465964 Initial 71215_20130503_1438_A5_3
20130503_1438 71215 71215_20130503_1438 A5 4 Int2 19.4851000690234 13812.6198465964 OLIGOMYCIN 71215_20130503_1438_A5_4
20130503_1438 71215 71215_20130503_1438 A5 5 Int2 17.4467082168709 13812.6198465964 OLIGOMYCIN 71215_20130503_1438_A5_5
20130503_1438 71215 71215_20130503_1438 A5 6 Int2 15.7969924495847 13812.6198465964 OLIGOMYCIN 71215_20130503_1438_A5_6
20130503_1438 71215 71215_20130503_1438 A5 7 Int3 113.866761752394 13812.6198465964 FCCP 71215_20130503_1438_A5_7
20130503_1438 71215 71215_20130503_1438 A5 8 Int3 114.127968321686 13812.6198465964 FCCP 71215_20130503_1438_A5_8
20130503_1438 71215 71215_20130503_1438 A5 9 Int3 113.226312836949 13812.6198465964 FCCP 71215_20130503_1438_A5_9
20130503_1438 71215 71215_20130503_1438 A5 10 Int4 10.0437770985792 13812.6198465964 ROTENONE 71215_20130503_1438_A5_10
20130503_1438 71215 71215_20130503_1438 A5 11 Int4 11.621436744463 13812.6198465964 ROTENONE 71215_20130503_1438_A5_11
20130503_1438 71215 71215_20130503_1438 A5 12 Int4 10.5445299584251 13812.6198465964 ROTENONE 71215_20130503_1438_A5_12
